x,phi_CDS,phi_UDS,phi_analytical
0,0,0,0
0.05,2.9060199915476117,3.1129775294685604,2.9838583826498377
0.15,9.32981200836111,9.650288408297461,9.418375964169742
0.25,16.42985115776863,16.841294688818035,16.529617667112
0.3500000000000001,24.277256866108445,24.751477812428416,24.388755188610535
0.44999999999999996,32.950767038212014,33.45267565833477,33.07444541852782
0.55,42.537285516064614,43.02404434809677,42.67361766404621
0.6500000000000004,53.13300503246429,53.552610845641965,53.28234366739208
0.7500000000000001,64.84399498550532,65.13399683916751,65.00679912412274
0.8499999999999999,77.78770755057693,77.87349433172358,77.96432632517484
0.9499999999999994,92.09391895587606,91.88693304909934,92.28460855795169
1,100,100,100
