x_height sweep,y_height sweep
0.05,0.02827761436
0.06034482759,0.02897751056
0.07068965517,0.0298784501
0.08103448276,0.03038545416
0.09137931034,0.03128081731
0.1017241379,0.03220457836
0.1120689655,0.0333383292
0.1224137931,0.03504009032
0.1327586207,0.03541348568
0.1431034483,0.03675219801
0.1534482759,0.03852564866
0.1637931034,0.0393025485
0.174137931,0.04141776696
0.1844827586,0.04323129404
0.1948275862,0.04480570908
0.2051724138,0.04672074324
0.2155172414,0.04862781153
0.225862069,0.05138366008
0.2362068966,0.05396484583
0.2465517241,0.05668919334
0.2568965517,0.05855289893
0.2672413793,0.06256365219
0.2775862069,0.06583873301
0.2982758621,0.07295851265
0.3086206897,0.07769440486
0.3189655172,0.08163181982
0.3396551724,0.0886122357
0.35,0.09522003532
