x_height sweep,y_height sweep
0.05,0.5742548727
0.06034482759,0.6141887016
0.07068965517,1.587436805
0.08103448276,0.703152999
0.09137931034,0.743207054
0.1017241379,0.7119402318
0.1120689655,0.7573378018
0.1224137931,0.7681716415
0.1327586207,0.7947076626
0.1431034483,0.7932779562
0.1534482759,0.8453461004
0.1637931034,0.9433248188
0.174137931,0.9890628002
0.1844827586,0.9924764111
0.1948275862,1.0180496
0.2051724138,1.036698966
0.2155172414,1.019331599
0.2362068966,1.006426979
0.2568965517,5.175536458
0.2672413793,1.089653157
0.2879310345,1.650065726
0.3293103448,-0.6551016187
