# Lid-driven cavity centreline profiles
# Re = 100, mesh cells = 6372

# y, Ux_sim
0.000000, -0.010103
0.005025, -0.010701
0.010050, -0.010701
0.015075, -0.010701
0.020101, -0.010701
0.025126, -0.026157
0.030151, -0.026157
0.035176, -0.026157
0.040201, -0.026157
0.045226, -0.039473
0.050251, -0.039473
0.055276, -0.041613
0.060302, -0.041613
0.065327, -0.047921
0.070352, -0.053232
0.075377, -0.053232
0.080402, -0.053232
0.085427, -0.062203
0.090452, -0.062203
0.095477, -0.062203
0.100503, -0.067725
0.105528, -0.072559
0.110553, -0.072559
0.115578, -0.078722
0.120603, -0.078722
0.125628, -0.082801
0.130653, -0.082801
0.135678, -0.088788
0.140704, -0.088788
0.145729, -0.088788
0.150754, -0.099406
0.155779, -0.100708
0.160804, -0.100708
0.165829, -0.106271
0.170854, -0.106271
0.175879, -0.108984
0.180905, -0.113440
0.185930, -0.113440
0.190955, -0.113440
0.195980, -0.119939
0.201005, -0.121776
0.206030, -0.127013
0.211055, -0.127013
0.216080, -0.130442
0.221106, -0.135581
0.226131, -0.135581
0.231156, -0.139199
0.236181, -0.139199
0.241206, -0.143804
0.246231, -0.143804
0.251256, -0.149308
0.256281, -0.149308
0.261307, -0.151700
0.266332, -0.159755
0.271357, -0.159755
0.276382, -0.159755
0.281407, -0.159755
0.286432, -0.166072
0.291457, -0.166072
0.296482, -0.168197
0.301508, -0.174094
0.306533, -0.174094
0.311558, -0.174094
0.316583, -0.179120
0.321608, -0.183745
0.326633, -0.183745
0.331658, -0.188393
0.336683, -0.188393
0.341709, -0.188393
0.346734, -0.191597
0.351759, -0.196163
0.356784, -0.196163
0.361809, -0.196554
0.366834, -0.196554
0.371859, -0.201860
0.376884, -0.201860
0.381910, -0.201121
0.386935, -0.205370
0.391960, -0.205370
0.396985, -0.205370
0.402010, -0.210829
0.407035, -0.210829
0.412060, -0.210829
0.417085, -0.216085
0.422111, -0.216085
0.427136, -0.214626
0.432161, -0.214626
0.437186, -0.214626
0.442211, -0.216027
0.447236, -0.216027
0.452261, -0.213202
0.457286, -0.218566
0.462312, -0.215068
0.467337, -0.215068
0.472362, -0.213761
0.477387, -0.213761
0.482412, -0.213761
0.487437, -0.214563
0.492462, -0.214563
0.497487, -0.214563
0.502513, -0.209251
0.507538, -0.209251
0.512563, -0.209251
0.517588, -0.204370
0.522613, -0.204967
0.527638, -0.204967
0.532663, -0.200910
0.537688, -0.200910
0.542714, -0.200910
0.547739, -0.191587
0.552764, -0.191587
0.557789, -0.187225
0.562814, -0.187225
0.567839, -0.179488
0.572864, -0.181768
0.577889, -0.181768
0.582915, -0.167851
0.587940, -0.167851
0.592965, -0.167851
0.597990, -0.161548
0.603015, -0.154748
0.608040, -0.154748
0.613065, -0.146326
0.618090, -0.146326
0.623116, -0.137409
0.628141, -0.137409
0.633166, -0.131742
0.638191, -0.122084
0.643216, -0.122084
0.648241, -0.105731
0.653266, -0.105731
0.658291, -0.105731
0.663317, -0.088829
0.668342, -0.088829
0.673367, -0.088829
0.678392, -0.077260
0.683417, -0.077260
0.688442, -0.077260
0.693467, -0.053867
0.698492, -0.053867
0.703518, -0.043380
0.708543, -0.043380
0.713568, -0.043380
0.718593, -0.019035
0.723618, -0.019035
0.728643, -0.006923
0.733668, 0.005870
0.738693, 0.005870
0.743719, 0.005870
0.748744, 0.038374
0.753769, 0.038374
0.758794, 0.038374
0.763819, 0.038374
0.768844, 0.069742
0.773869, 0.069742
0.778894, 0.069742
0.783920, 0.098363
0.788945, 0.098363
0.793970, 0.098363
0.798995, 0.122793
0.804020, 0.133780
0.809045, 0.133780
0.814070, 0.151105
0.819095, 0.169958
0.824121, 0.169958
0.829146, 0.169958
0.834171, 0.218206
0.839196, 0.218206
0.844221, 0.218206
0.849246, 0.247710
0.854271, 0.273684
0.859296, 0.273684
0.864322, 0.273684
0.869347, 0.301950
0.874372, 0.338510
0.879397, 0.338510
0.884422, 0.377059
0.889447, 0.377059
0.894472, 0.415873
0.899497, 0.415873
0.904523, 0.456885
0.909548, 0.498888
0.914573, 0.498888
0.919598, 0.498888
0.924623, 0.548770
0.929648, 0.589141
0.934673, 0.589141
0.939698, 0.643841
0.944724, 0.695590
0.949749, 0.695590
0.954774, 0.695590
0.959799, 0.695590
0.964824, 0.799998
0.969849, 0.817067
0.974874, 0.817067
0.979899, 0.916701
0.984925, 0.916701
0.989950, 0.940228
0.994975, 0.940228
1.000000, 0.940228


# y, Ux_ghia
1.000000, 1.000000
0.976600, 0.841230
0.968800, 0.788710
0.960900, 0.737220
0.953100, 0.687170
0.851600, 0.231510
0.734400, 0.003320
0.617200, -0.136410
0.500000, -0.205810
0.453100, -0.210900
0.281300, -0.156620
0.171900, -0.101500
0.101600, -0.064340
0.070300, -0.047750
0.062500, -0.041920
0.054700, -0.037170
0.000000, 0.000000


# x, Uy_sim
0.000000, 0.010384
0.005025, 0.010384
0.010050, 0.025912
0.015075, 0.025912
0.020101, 0.046259
0.025126, 0.046259
0.030151, 0.055092
0.035176, 0.055092
0.040201, 0.082682
0.045226, 0.082682
0.050251, 0.082682
0.055276, 0.088245
0.060302, 0.099417
0.065327, 0.099417
0.070352, 0.110273
0.075377, 0.110273
0.080402, 0.118421
0.085427, 0.128936
0.090452, 0.128936
0.095477, 0.136689
0.100503, 0.136689
0.105528, 0.146558
0.110553, 0.151755
0.115578, 0.151755
0.120603, 0.151755
0.125628, 0.159326
0.130653, 0.162727
0.135678, 0.162727
0.140704, 0.162727
0.145729, 0.169826
0.150754, 0.173623
0.155779, 0.168565
0.160804, 0.168565
0.165829, 0.170581
0.170854, 0.176912
0.175879, 0.176912
0.180905, 0.176912
0.185930, 0.177369
0.190955, 0.183007
0.195980, 0.183007
0.201005, 0.183053
0.206030, 0.183053
0.211055, 0.183053
0.216080, 0.187892
0.221106, 0.187892
0.226131, 0.182755
0.231156, 0.182755
0.236181, 0.183339
0.241206, 0.183339
0.246231, 0.188536
0.251256, 0.179833
0.256281, 0.182150
0.261307, 0.182150
0.266332, 0.179914
0.271357, 0.179914
0.276382, 0.182984
0.281407, 0.182984
0.286432, 0.181564
0.291457, 0.177123
0.296482, 0.177123
0.301508, 0.174049
0.306533, 0.174049
0.311558, 0.173918
0.316583, 0.173918
0.321608, 0.164325
0.326633, 0.164325
0.331658, 0.164382
0.336683, 0.164382
0.341709, 0.164382
0.346734, 0.157277
0.351759, 0.157338
0.356784, 0.157338
0.361809, 0.157338
0.366834, 0.145398
0.371859, 0.150720
0.376884, 0.143513
0.381910, 0.143513
0.386935, 0.143513
0.391960, 0.138148
0.396985, 0.131762
0.402010, 0.131762
0.407035, 0.131762
0.412060, 0.126122
0.417085, 0.126122
0.422111, 0.119303
0.427136, 0.117797
0.432161, 0.117797
0.437186, 0.108495
0.442211, 0.108495
0.447236, 0.103207
0.452261, 0.103207
0.457286, 0.091703
0.462312, 0.085314
0.467337, 0.085314
0.472362, 0.085314
0.477387, 0.083654
0.482412, 0.069677
0.487437, 0.069677
0.492462, 0.064794
0.497487, 0.061940
0.502513, 0.048683
0.507538, 0.048683
0.512563, 0.048683
0.517588, 0.043553
0.522613, 0.029646
0.527638, 0.029646
0.532663, 0.029646
0.537688, 0.008934
0.542714, 0.008934
0.547739, 0.008934
0.552764, -0.000016
0.557789, -0.000016
0.562814, -0.013076
0.567839, -0.013076
0.572864, -0.025192
0.577889, -0.025192
0.582915, -0.037538
0.587940, -0.037538
0.592965, -0.051003
0.597990, -0.051003
0.603015, -0.051003
0.608040, -0.072227
0.613065, -0.078946
0.618090, -0.078946
0.623116, -0.078946
0.628141, -0.092284
0.633166, -0.092284
0.638191, -0.101223
0.643216, -0.101223
0.648241, -0.118062
0.653266, -0.118062
0.658291, -0.133050
0.663317, -0.133050
0.668342, -0.142613
0.673367, -0.142613
0.678392, -0.162918
0.683417, -0.162918
