# Lid-driven cavity centreline profiles
# Re = 400, mesh cells = 6372

# y, Ux_sim
0.000000, -0.020596
0.005025, -0.021805
0.010050, -0.021805
0.015075, -0.021805
0.020101, -0.021805
0.025126, -0.052443
0.030151, -0.052443
0.035176, -0.052443
0.040201, -0.052443
0.045226, -0.078857
0.050251, -0.078857
0.055276, -0.082845
0.060302, -0.082845
0.065327, -0.095919
0.070352, -0.106348
0.075377, -0.106348
0.080402, -0.106348
0.085427, -0.124699
0.090452, -0.124699
0.095477, -0.124699
0.100503, -0.136447
0.105528, -0.146376
0.110553, -0.146376
0.115578, -0.160442
0.120603, -0.160442
0.125628, -0.168333
0.130653, -0.168333
0.135678, -0.181530
0.140704, -0.181530
0.145729, -0.181530
0.150754, -0.205180
0.155779, -0.207140
0.160804, -0.207140
0.165829, -0.219405
0.170854, -0.219405
0.175879, -0.224900
0.180905, -0.235387
0.185930, -0.235387
0.190955, -0.235387
0.195980, -0.249388
0.201005, -0.252296
0.206030, -0.263306
0.211055, -0.263306
0.216080, -0.268787
0.221106, -0.279713
0.226131, -0.279713
0.231156, -0.283998
0.236181, -0.283998
0.241206, -0.291404
0.246231, -0.291404
0.251256, -0.297834
0.256281, -0.297834
0.261307, -0.301301
0.266332, -0.308149
0.271357, -0.308149
0.276382, -0.308149
0.281407, -0.308149
0.286432, -0.312669
0.291457, -0.312669
0.296482, -0.310786
0.301508, -0.313586
0.306533, -0.313586
0.311558, -0.313586
0.316583, -0.311554
0.321608, -0.312951
0.326633, -0.312951
0.331658, -0.306351
0.336683, -0.306351
0.341709, -0.306351
0.346734, -0.307745
0.351759, -0.299773
0.356784, -0.299773
0.361809, -0.293730
0.366834, -0.293730
0.371859, -0.288867
0.376884, -0.288867
0.381910, -0.282323
0.386935, -0.277291
0.391960, -0.277291
0.396985, -0.277291
0.402010, -0.258161
0.407035, -0.258161
0.412060, -0.258161
0.417085, -0.242496
0.422111, -0.242496
0.427136, -0.235584
0.432161, -0.235584
0.437186, -0.235584
0.442211, -0.216692
0.447236, -0.216692
0.452261, -0.208628
0.457286, -0.195238
0.462312, -0.188429
0.467337, -0.188429
0.472362, -0.175692
0.477387, -0.175692
0.482412, -0.175692
0.487437, -0.155864
0.492462, -0.155864
0.497487, -0.155864
0.502513, -0.133298
0.507538, -0.133298
0.512563, -0.133298
0.517588, -0.119592
0.522613, -0.110358
0.527638, -0.110358
0.532663, -0.098059
0.537688, -0.098059
0.542714, -0.098059
0.547739, -0.071356
0.552764, -0.071356
0.557789, -0.067417
0.562814, -0.067417
0.567839, -0.051157
0.572864, -0.049748
0.577889, -0.049748
0.582915, -0.025719
0.587940, -0.025719
0.592965, -0.025719
0.597990, -0.014182
0.603015, -0.006234
0.608040, -0.006234
0.613065, 0.008194
0.618090, 0.008194
0.623116, 0.019262
0.628141, 0.019262
0.633166, 0.028638
0.638191, 0.039469
0.643216, 0.039469
0.648241, 0.058859
0.653266, 0.058859
0.658291, 0.058859
0.663317, 0.076542
0.668342, 0.076542
0.673367, 0.076542
0.678392, 0.087861
0.683417, 0.087861
0.688442, 0.087861
0.693467, 0.110007
0.698492, 0.110007
0.703518, 0.119022
0.708543, 0.119022
0.713568, 0.119022
0.718593, 0.141249
0.723618, 0.141249
0.728643, 0.150084
0.733668, 0.161335
0.738693, 0.161335
0.743719, 0.161335
0.748744, 0.184314
0.753769, 0.184314
0.758794, 0.184314
0.763819, 0.184314
0.768844, 0.203362
0.773869, 0.203362
0.778894, 0.203362
0.783920, 0.219417
0.788945, 0.219417
0.793970, 0.219417
0.798995, 0.233988
0.804020, 0.237583
0.809045, 0.237583
0.814070, 0.245088
0.819095, 0.254896
0.824121, 0.254896
0.829146, 0.254896
0.834171, 0.274357
0.839196, 0.274357
0.844221, 0.274357
0.849246, 0.286184
0.854271, 0.296415
0.859296, 0.296415
0.864322, 0.296415
0.869347, 0.307886
0.874372, 0.323978
0.879397, 0.323978
0.884422, 0.343139
0.889447, 0.343139
0.894472, 0.364970
0.899497, 0.364970
0.904523, 0.389631
0.909548, 0.419914
0.914573, 0.419914
0.919598, 0.419914
0.924623, 0.460568
0.929648, 0.497075
0.934673, 0.497075
0.939698, 0.552425
0.944724, 0.608486
0.949749, 0.608486
0.954774, 0.608486
0.959799, 0.608486
0.964824, 0.735676
0.969849, 0.750767
0.974874, 0.750767
0.979899, 0.874891
0.984925, 0.874891
0.989950, 0.897352
0.994975, 0.897352
1.000000, 0.897352


# y, Ux_ghia
1.000000, 1.000000
0.976600, 0.758370
0.968800, 0.684390
0.960900, 0.617560
0.953100, 0.558920
0.851600, 0.290930
0.734400, 0.162560
0.617200, 0.021350
0.500000, -0.114770
0.453100, -0.171190
0.281300, -0.327260
0.171900, -0.242990
0.101600, -0.146120
0.070300, -0.103380
0.062500, -0.092660
0.054700, -0.081860
0.000000, 0.000000


# x, Uy_sim
0.000000, 0.023599
0.005025, 0.023599
0.010050, 0.055516
0.015075, 0.055516
0.020101, 0.095858
0.025126, 0.095858
0.030151, 0.109964
0.035176, 0.109964
0.040201, 0.154727
0.045226, 0.154727
0.050251, 0.154727
0.055276, 0.163892
0.060302, 0.180859
0.065327, 0.180859
0.070352, 0.195302
0.075377, 0.195302
0.080402, 0.207023
0.085427, 0.219375
0.090452, 0.219375
0.095477, 0.229178
0.100503, 0.229178
0.105528, 0.240129
0.110553, 0.245954
0.115578, 0.245954
0.120603, 0.245954
0.125628, 0.255365
0.130653, 0.258975
0.135678, 0.258975
0.140704, 0.258975
0.145729, 0.266438
0.150754, 0.271227
0.155779, 0.266720
0.160804, 0.266720
0.165829, 0.269625
0.170854, 0.276242
0.175879, 0.276242
0.180905, 0.276242
0.185930, 0.278027
0.190955, 0.283679
0.195980, 0.283679
0.201005, 0.284765
0.206030, 0.284765
0.211055, 0.284765
0.216080, 0.289756
0.221106, 0.289756
0.226131, 0.286333
0.231156, 0.286333
0.236181, 0.286016
0.241206, 0.286016
0.246231, 0.289391
0.251256, 0.283148
0.256281, 0.284374
0.261307, 0.284374
0.266332, 0.280603
0.271357, 0.280603
0.276382, 0.282258
0.281407, 0.282258
0.286432, 0.278770
0.291457, 0.274637
0.296482, 0.274637
0.301508, 0.270029
0.306533, 0.270029
0.311558, 0.266203
0.316583, 0.266203
0.321608, 0.255009
0.326633, 0.255009
0.331658, 0.251653
0.336683, 0.251653
0.341709, 0.251653
0.346734, 0.242843
0.351759, 0.237708
0.356784, 0.237708
0.361809, 0.237708
0.366834, 0.221775
0.371859, 0.221514
0.376884, 0.215793
0.381910, 0.215793
0.386935, 0.215793
0.391960, 0.197117
0.396985, 0.192095
0.402010, 0.192095
0.407035, 0.192095
0.412060, 0.177625
0.417085, 0.177625
0.422111, 0.169592
0.427136, 0.162575
0.432161, 0.162575
0.437186, 0.151790
0.442211, 0.151790
0.447236, 0.141488
0.452261, 0.141488
0.457286, 0.127927
0.462312, 0.115789
0.467337, 0.115789
0.472362, 0.115789
0.477387, 0.107475
0.482412, 0.089480
0.487437, 0.089480
0.492462, 0.085196
0.497487, 0.075994
0.502513, 0.060808
0.507538, 0.060808
0.512563, 0.060808
0.517588, 0.050920
0.522613, 0.033896
0.527638, 0.033896
0.532663, 0.033896
0.537688, 0.009546
0.542714, 0.009546
0.547739, 0.009546
0.552764, -0.002289
0.557789, -0.002289
0.562814, -0.016924
0.567839, -0.016924
0.572864, -0.030301
0.577889, -0.030301
0.582915, -0.044725
0.587940, -0.044725
0.592965, -0.058567
0.597990, -0.058567
0.603015, -0.058567
0.608040, -0.082056
0.613065, -0.089938
0.618090, -0.089938
0.623116, -0.089938
0.628141, -0.104549
0.633166, -0.104549
0.638191, -0.116665
0.643216, -0.116665
0.648241, -0.133334
0.653266, -0.133334
0.658291, -0.153154
0.663317, -0.153154
0.668342, -0.161906
0.673367, -0.161906
0.678392, -0.189027
0.683417, -0.189027
0.688442, -0.189027
0.693467, -0.189027
0.698492, -0.205964
0.703518, -0.238050
0.708543, -0.238050
0.713568, -0.238050
0.718593, -0.238050
0.723618, -0.268012
0.728643, -0.277564
0.733668, -0.277564
0.738693, -0.277564
0.743719, -0.299961
0.748744, -0.299961
0.753769, -0.299961
0.758794, -0.317225
0.763819, -0.345628
0.768844, -0.345628
0.773869, -0.345628
0.778894, -0.345628
0.783920, -0.365321
0.788945, -0.365321
0.793970, -0.365321
0.798995, -0.400983
0.804020, -0.400983
0.809045, -0.400983
0.814070, -0.411592
0.819095, -0.420477
0.824121, -0.420477
0.829146, -0.420477
0.834171, -0.433544
0.839196, -0.433544
0.844221, -0.433544
0.849246, -0.425596
0.854271, -0.430830
0.859296, -0.430830
0.864322, -0.430830
0.869347, -0.424974
0.874372, -0.424974
0.879397, -0.425437
0.884422, -0.425437
0.889447, -0.392427
0.894472, -0.392427
0.899497, -0.378856
0.904523, -0.378856
0.909548, -0.358551
0.914573, -0.323315
0.919598, -0.323315
0.924623, -0.323315
0.929648, -0.281372
0.934673, -0.281372
0.939698, -0.281372
0.944724, -0.230888
0.949749, -0.190567
0.954774, -0.190567
0.959799, -0.190567
0.964824, -0.147856
0.969849, -0.122274
0.974874, -0.122274
0.979899, -0.061222
0.984925, -0.061222
0.989950, -0.061222
0.994975, -0.030111
1.000000, -0.030111


# x, Uy_ghia
0.000000, 0.000000
0.062500, 0.183600
0.070300, 0.197130
0.078100, 0.209200
0.093800, 0.229650
0.156300, 0.281240
0.226600, 0.302030
0.234400, 0.301740
0.500000, 0.051860
0.804700, -0.385980
0.859400, -0.449930
0.906300, -0.238270
0.945300, -0.228470
0.953100, -0.192540
0.960900, -0.156630
0.968800, -0.121460
1.000000, 0.000000
