# Lid-driven cavity centreline profiles
# Re = 1000, mesh cells = 6372

# y, Ux_sim
0.336683, 0.233799
0.341709, 0.233799
0.346734, 0.219706
0.351759, 0.210420
0.356784, 0.210420
0.361809, 0.210420
0.366834, 0.190539
0.371859, 0.185896
0.376884, 0.182160
0.381910, 0.182160
0.386935, 0.182160
0.391960, 0.156564
0.396985, 0.152809
0.402010, 0.152809
0.407035, 0.152809
0.412060, 0.134972
0.417085, 0.134972
0.422111, 0.127564
0.427136, 0.119028
0.432161, 0.119028
0.437186, 0.109733
0.442211, 0.109733
0.447236, 0.099563
0.452261, 0.099563
0.457286, 0.087550
0.462312, 0.075944
0.467337, 0.075944
0.472362, 0.075944
0.477387, 0.068511
0.482412, 0.053326
0.487437, 0.053326
0.492462, 0.049672
0.497487, 0.041579
0.502513, 0.028682
0.507538, 0.028682
0.512563, 0.028682
0.517588, 0.020608
0.522613, 0.006366
0.527638, 0.006366
0.532663, 0.006366
0.537688, -0.014019
0.542714, -0.014019
0.547739, -0.014019
0.552764, -0.023393
0.557789, -0.023393
0.562814, -0.035690
0.567839, -0.035690
0.572864, -0.045693
0.577889, -0.045693
0.582915, -0.058125
0.587940, -0.058125
0.592965, -0.069994
0.597990, -0.069994
0.603015, -0.069994
0.608040, -0.087870
0.613065, -0.094500
0.618090, -0.094500
0.623116, -0.094500
0.628141, -0.106571
0.633166, -0.106571
0.638191, -0.115581
0.643216, -0.115581
0.648241, -0.128199
0.653266, -0.128199
0.658291, -0.143970
0.663317, -0.143970
0.668342, -0.150155
0.673367, -0.150155
0.678392, -0.167603
0.683417, -0.167603
0.688442, -0.167603
0.693467, -0.167603
0.698492, -0.178577
0.703518, -0.203665
0.708543, -0.203665
0.713568, -0.203665
0.718593, -0.203665
0.723618, -0.226882
0.728643, -0.234471
0.733668, -0.234471
0.738693, -0.234471
0.743719, -0.252849
0.748744, -0.252849
0.753769, -0.252849
0.758794, -0.269944
0.763819, -0.295093
0.768844, -0.295093
0.773869, -0.295093
0.778894, -0.295093
0.783920, -0.314600
0.788945, -0.314600
0.793970, -0.314600
0.798995, -0.360479
0.804020, -0.360479
0.809045, -0.360479
0.814070, -0.370113
0.819095, -0.399591
0.824121, -0.399591
0.829146, -0.399591
0.834171, -0.429810
0.839196, -0.429810
0.844221, -0.429810
0.849246, -0.430098
0.854271, -0.460918
0.859296, -0.460918
0.864322, -0.460918
0.869347, -0.477046
0.874372, -0.477046
0.879397, -0.478893
0.884422, -0.478893
0.889447, -0.471043
0.894472, -0.471043
0.899497, -0.469757
0.904523, -0.469757
0.909548, -0.459424
0.914573, -0.433521
0.919598, -0.433521
0.924623, -0.433521
