x_re100_jnl,v_re100_jnl,x_re100_ghia,v_re100_ghia,x_re400_jnl,v_re400_jnl,x_re400_ghia,v_re400_ghia,x_re1000_jnl,v_re1000_jnl,x_re1000_ghia,v_re1000_ghia
0.484496124,0.07163289594,,,0.484496124,0.07169536706,,,0.484496124,0.0423345594,,
0.492248062,0.0647580027,,,0.492248062,0.06203097343,,,0.492248062,0.03409417259,,
0.5,0.05766190826,,,0.5,0.05239613017,,,0.5,0.02584783751,,
0.507751938,0.05034636569,,,0.507751938,0.04279310571,,,0.507751938,0.01759427776,,
0.515503876,0.04281373927,,,0.515503876,0.03322295682,,,0.515503876,0.009332150253,,
0.523255814,0.03506708779,,,0.523255814,0.02368564228,,,0.523255814,0.001060029573,,
0.5310077519,0.02711021497,,,0.5310077519,0.01418012497,,,0.5310077519,-0.007223594798,,
0.5387596899,0.01894774149,,,0.5387596899,0.004704450132,,,0.5387596899,-0.01552032553,,
0.5465116279,0.01058518807,,,0.5465116279,-0.0047441883,,,0.5465116279,-0.02383184863,,
0.5542635659,0.002029045969,,,0.5542635659,-0.01416940482,,,0.5542635659,-0.03215991991,,
0.5620155039,-0.00671313643,,,0.5620155039,-0.02357560899,,,0.5620155039,-0.04050635557,,
0.5697674419,-0.01563266826,,,0.5697674419,-0.03296801206,,,0.5697674419,-0.04887300485,,
0.5775193798,-0.02471962916,,,0.5775193798,-0.04235265855,,,0.5775193798,-0.05726172166,,
0.5852713178,-0.03396277323,,,0.5852713178,-0.05173648926,,,0.5852713178,-0.06567432811,,
0.5930232558,-0.04334941956,,,0.5930232558,-0.06112743243,,,0.5930232558,-0.07411258298,,
0.6007751938,-0.05286536698,,,0.6007751938,-0.07053451464,,,0.6007751938,-0.08257811913,,
0.6085271318,-0.06249479089,,,0.6085271318,-0.07996799859,,,0.6085271318,-0.0910723949,,
0.6162790698,-0.07222012182,,,0.6162790698,-0.08943954181,,,0.6162790698,-0.09959662664,,
0.6240310078,-0.082021961,,,0.6240310078,-0.0989623702,,,0.6240310078,-0.108151719,,
0.6317829457,-0.09187897677,,,0.6317829457,-0.108551455,,,0.6317829457,-0.1167381837,,
0.6395348837,-0.1017677884,,,0.6395348837,-0.1182236915,,,0.6395348837,-0.1253560527,,
0.6472868217,-0.1116628926,,,0.6472868217,-0.1279980665,,,0.6472868217,-0.1340048057,,
0.6550387597,-0.1215365747,,,0.6550387597,-0.1378957919,,,0.6550387597,-0.142683284,,
0.6627906977,-0.131358837,,,0.6627906977,-0.147940382,,,0.6627906977,-0.1513896157,,
0.6705426357,-0.141097345,,,0.6705426357,-0.1581576572,,,0.6705426357,-0.1601211761,,
0.6782945736,-0.1507173824,,,0.6782945736,-0.1685756501,,,0.6782945736,-0.168874583,,
0.6860465116,-0.1601818464,,,0.6860465116,-0.1792243535,,,0.6860465116,-0.1776457389,,
0.6937984496,-0.1694512542,,,0.6937984496,-0.1901352961,,,0.6937984496,-0.1864299639,,
0.7015503876,-0.1784838021,,,0.7015503876,-0.2013408763,,,0.7015503876,-0.1952222386,,
0.7093023256,-0.1872354503,,,0.7093023256,-0.2128734105,,,0.7093023256,-0.2040176064,,
0.7170542636,-0.1956600505,,,0.7170542636,-0.2247638438,,,0.7170542636,-0.2128117941,,
0.7248062016,-0.2037095198,,,0.7248062016,-0.2370400563,,,0.7248062016,-0.2216020885,,
0.7325581395,-0.2113340821,,,0.7325581395,-0.2497247128,,,0.7325581395,-0.2303885513,,
0.7403100775,-0.218482562,,,0.7403100775,-0.2628326148,,,0.7403100775,-0.2391756604,,
0.7480620155,-0.2251027384,,,0.7480620155,-0.2763675127,,,0.7480620155,-0.2479743843,,
0.7558139535,-0.2311417602,,,0.7558139535,-0.2903183816,,,0.7558139535,-0.2568048165,,
0.7635658915,-0.2365466288,,,0.7635658915,-0.3046551734,,,0.7635658915,-0.2656992912,,
0.7713178295,-0.2412647467,,,0.7713178295,-0.3193241344,,,0.7713178295,-0.2747059459,,
0.7790697674,-0.2452445414,,,0.7790697674,-0.3342427975,,,0.7790697674,-0.283892515,,
0.7868217054,-0.2484361185,,,0.7868217054,-0.3492949067,,,0.7868217054,-0.2933499679,,
0.7945736434,-0.2507919794,,,0.7945736434,-0.3643255402,,,0.7945736434,-0.3031954272,,
0.8023255814,-0.2522677928,,,0.8023255814,-0.3791368683,,,0.8023255814,-0.3135733646,,
0.8100775194,-0.2528231591,,,0.8100775194,-0.3934850341,,,0.8100775194,-0.3246538308,,
0.8178294574,-0.2524224208,,,0.8178294574,-0.4070787977,,,0.8178294574,-0.3366261374,,
0.8255813953,-0.2510354493,,,0.8255813953,-0.4195806046,,,0.8255813953,-0.3496860345,,
0.8333333333,-0.2486384034,,,0.8333333333,-0.4306107661,,,0.8333333333,-0.3640143735,,
0.8410852713,-0.2452144449,,,0.8410852713,-0.4397554015,,,0.8410852713,-0.379745534,,
0.8488372093,-0.2407543859,,,0.8488372093,-0.4465786329,,,0.8488372093,-0.3969246112,,
0.8565891473,-0.2352572412,,,0.8565891473,-0.4506392093,,,0.8565891473,-0.4154538712,,
0.8643410853,-0.2287306818,,,0.8643410853,-0.4515113557,,,0.8643410853,-0.4350312405,,
0.8720930233,-0.2211913278,,,0.8720930233,-0.4488090971,,,0.8720930233,-0.4550870022,,
0.8798449612,-0.2126649271,,,0.8798449612,-0.4422126594,,,0.8798449612,-0.4747286087,,
0.8875968992,-0.2031863561,,,0.8875968992,-0.431495018,,,0.8875968992,-0.4927079611,,
0.8953488372,-0.1927994582,,,0.8953488372,-0.4165461375,,,0.8953488372,-0.5074289858,,
0.9031007752,-0.1815567135,,,0.9031007752,-0.3973922206,,,0.9031007752,-0.5170145682,,
0.9108527132,-0.1695187334,,,0.9108527132,-0.3742074515,,,0.9108527132,-0.5194487136,,
0.9186046512,-0.1567536116,,,0.9186046512,-0.347316237,,,0.9186046512,-0.5127992861,,
0.9263565891,-0.1433361136,,,0.9263565891,-0.3171848955,,,0.9263565891,-0.4955074798,,
0.9341085271,-0.1293467669,,,0.9341085271,-0.2844029906,,,0.9341085271,-0.4667034689,,
0.9418604651,-0.1148708155,,,0.9418604651,-0.249655738,,,0.9418604651,-0.4264804299,,
0.9496124031,-0.09999712314,,,0.9496124031,-0.2136899923,,,0.9496124031,-0.3760453999,,
0.9573643411,-0.08481702987,,,0.9573643411,-0.1772770082,,,0.9573643411,-0.3176798585,,
0.9651162791,-0.06942319546,,,0.9651162791,-0.1411752992,,,0.9651162791,-0.2544912707,,
0.9728682171,-0.05390847019,,,0.9728682171,-0.1060964525,,,0.9728682171,-0.1900027054,,
0.980620155,-0.03836455118,,,0.980620155,-0.07267550482,,,0.980620155,-0.1276788419,,
0.988372093,-0.02288085819,,,0.988372093,-0.04144782014,,,0.988372093,-0.07049740439,,
0.996124031,-0.00754692216,,,0.996124031,-0.01283963235,,,0.996124031,-0.0206476244,,
