x_JNLCFD,y_JNLCFD,x_Ghia et al.,y_Ghia et al.
-0.04012819862,0.003875968992,1,1
-0.1175124666,0.01162790698,0.47244,0.9766
-0.1770645147,0.01937984496,0.47048,0.9688
-0.2171792318,0.02713178295,0.47323,0.9609
-0.2424657907,0.03488372093,0.47167,0.9531
-0.2580710127,0.04263565891,0.34228,0.8516
-0.2677375305,0.0503875969,0.20591,0.7344
-0.2736370985,0.05813953488,0.08342,0.6172
-0.2768439407,0.06589147287,-0.038,0.5
-0.2778524415,0.07364341085,-0.07503,0.4531
-0.2769184051,0.08139534884,-0.23176,0.2813
-0.2742319549,0.08914728682,-0.32393,0.1719
-0.2699833822,0.09689922481,-0.38324,0.1016
-0.2643861966,0.1046511628,-0.43025,0.0703
-0.2576863071,0.1124031008,-0.4359,0.0625
-0.2501442685,0.1201550388,-0.43154,0.0547
-0.2420249262,0.1279069767,0,0
-0.2335867816,0.1356589147,,
-0.2250795435,0.1434108527,,
-0.2167127234,0.1511627907,,
-0.2086470603,0.1589147287,,
-0.2009915619,0.1666666667,,
-0.1938059097,0.1744186047,,
-0.1871115282,0.1821705426,,
-0.1808859654,0.1899224806,,
-0.175079346,0.1976744186,,
-0.1696282137,0.2054263566,,
-0.1644648995,0.2131782946,,
-0.1595250249,0.2209302326,,
-0.1547574784,0.2286821705,,
-0.1501172704,0.2364341085,,
-0.1455685568,0.2441860465,,
-0.1410854634,0.2519379845,,
-0.1366506087,0.2596899225,,
-0.1322531908,0.2674418605,,
-0.1278872097,0.2751937984,,
-0.123549934,0.2829457364,,
-0.1192406281,0.2906976744,,
-0.1149594735,0.2984496124,,
-0.110707131,0.3062015504,,
-0.1064864671,0.3139534884,,
-0.1022993664,0.3217054264,,
-0.09814631066,0.3294573643,,
-0.0940272932,0.3372093023,,
-0.08994204895,0.3449612403,,
-0.08588999758,0.3527131783,,
-0.08187020429,0.3604651163,,
-0.07788143004,0.3682170543,,
-0.07392215525,0.3759689922,,
-0.0699906359,0.3837209302,,
-0.06608496193,0.3914728682,,
-0.06220310119,0.3992248062,,
-0.05834294392,0.4069767442,,
-0.05450232864,0.4147286822,,
-0.05067907377,0.4224806202,,
-0.04687098806,0.4302325581,,
-0.04307587937,0.4379844961,,
-0.03929156717,0.4457364341,,
-0.03551589745,0.4534883721,,
-0.03174673636,0.4612403101,,
-0.02798197862,0.4689922481,,
-0.02421953867,0.476744186,,
-0.02045736909,0.484496124,,
-0.01669345648,0.492248062,,
-0.01292584552,0.5,,
-0.00915267994,0.507751938,,
-0.005372261164,0.515503876,,
-0.001583354815,0.523255814,,
0.002214446138,0.5310077519,,
0.006021095324,0.5387596899,,
0.009838210357,0.5465116279,,
0.01366719601,0.5542635659,,
0.01750973961,0.5620155039,,
0.02136779722,0.5697674419,,
0.02524346694,0.5775193798,,
0.02913892842,0.5852713178,,
0.03305642751,0.5930232558,,
0.03699827277,0.6007751938,,
0.04096681364,0.6085271318,,
0.04496444414,0.6162790698,,
0.04899359271,0.6240310078,,
0.05305672402,0.6317829457,,
0.05715635293,0.6395348837,,
0.0612950361,0.6472868217,,
0.06547538792,0.6550387597,,
0.06970020616,0.6627906977,,
0.07397258696,0.6705426357,,
0.07829594389,0.6782945736,,
0.08267406986,0.6860465116,,
0.08711121326,0.6937984496,,
0.09161211994,0.7015503876,,
0.09618209533,0.7093023256,,
0.1008270135,0.7170542636,,
0.1055532918,0.7248062016,,
0.1103678566,0.7325581395,,
0.1152779916,0.7403100775,,
0.1202911239,0.7480620155,,
0.1254144759,0.7558139535,,
0.1306546626,0.7635658915,,
0.1360171953,0.7713178295,,
0.1415059089,0.7790697674,,
0.1471223855,0.7868217054,,
0.1528653166,0.7945736434,,
0.1587298853,0.8023255814,,
0.1647072089,0.8100775194,,
0.1707838814,0.8178294574,,
0.1769416578,0.8255813953,,
0.1831572648,0.8333333333,,
0.1894023947,0.8410852713,,
0.1956438382,0.8488372093,,
0.2018437814,0.8565891473,,
0.2079602125,0.8643410853,,
0.2139474007,0.8720930233,,
0.2197564084,0.8798449612,,
0.2253356264,0.8875968992,,
0.2306312554,0.8953488372,,
0.2355877914,0.9031007752,,
0.2401485736,0.9108527132,,
0.2442570404,0.9186046512,,
0.2478610016,0.9263565891,,
0.2509288447,0.9341085271,,
0.2535086301,0.9418604651,,
0.2559256232,0.9496124031,,
0.259377604,0.9573643411,,
0.267515832,0.9651162791,,
0.2900765522,0.9728682171,,
0.3498604681,0.980620155,,
0.4925449821,0.988372093,,
0.7844381635,0.996124031,,
