x_height sweep,y_height sweep
0.05,0.308743319
0.06034482759,0.2951263228
0.07068965517,0.3068547128
0.08103448276,0.3184892339
0.09137931034,0.3540674937
0.1017241379,0.3677646131
0.1120689655,0.3427658145
0.1224137931,-0.1847050477
0.1327586207,0.3802316085
0.1431034483,0.407879665
0.1534482759,0.4553068601
0.1637931034,0.4117431407
0.174137931,0.4887749006
0.1844827586,0.534470541
0.1948275862,0.4858582186
0.2051724138,0.4875362478
0.2155172414,0.6331234614
0.225862069,0.4919123067
0.2362068966,0.5792979594
0.2465517241,0.4784586651
0.2568965517,0.4705823027
0.2672413793,0.5554318398
0.2775862069,0.5285745711
0.2982758621,0.4229008569
0.3086206897,0.6251286919
0.3189655172,0.6407494655
0.3396551724,0.7166461715
0.35,0.7416797296
