y_re100_jnl,u_re100_jnl,y_re100_ghia,u_re100_ghia,y_re400_jnl,u_re400_jnl,y_re400_ghia,u_re400_ghia,y_re1000_jnl,u_re1000_jnl,y_re1000_ghia,u_re1000_ghia
0.3527131783,-0.1892061416,,,0.3527131783,-0.288593291,,,0.3527131783,-0.2031564338,,
0.3604651163,-0.1922232225,,,0.3604651163,-0.28094766,,,0.3604651163,-0.1957005222,,
0.3682170543,-0.195096254,,,0.3682170543,-0.2728579903,,,0.3682170543,-0.1882873311,,
0.3759689922,-0.197811849,,,0.3759689922,-0.264391769,,,0.3759689922,-0.1809012216,,
0.3837209302,-0.2003563085,,,0.3837209302,-0.2556134133,,,0.3837209302,-0.1735295396,,
0.3914728682,-0.2027156852,,,0.3914728682,-0.2465833272,,,0.3914728682,-0.1661623738,,
0.3992248062,-0.2048758639,,,0.3992248062,-0.23735715,,,0.3992248062,-0.1587922107,,
0.4069767442,-0.2068226533,,,0.4069767442,-0.2279852316,,,0.4069767442,-0.1514135826,,
0.4147286822,-0.2085418662,,,0.4147286822,-0.2185122838,,,0.4147286822,-0.1440226896,,
0.4224806202,-0.2100194177,,,0.4224806202,-0.2089772284,,,0.4224806202,-0.136617052,,
0.4302325581,-0.2112414228,,,0.4302325581,-0.1994132073,,,0.4302325581,-0.1291951856,,
0.4379844961,-0.2121942854,,,0.4379844961,-0.1898477251,,,0.4379844961,-0.1217563241,,
0.4457364341,-0.2128648162,,,0.4457364341,-0.1803029185,,,0.4457364341,-0.1143001814,,
0.4534883721,-0.2132403149,,,0.4534883721,-0.1707959062,,,0.4534883721,-0.1068267572,,
0.4612403101,-0.2133086702,,,0.4612403101,-0.1613392131,,,0.4612403101,-0.09933617489,,
0.4689922481,-0.2130584764,,,0.4689922481,-0.1519412351,,,0.4689922481,-0.09182857604,,
0.476744186,-0.2124790998,,,0.476744186,-0.1426067301,,,0.476744186,-0.08430401886,,
0.484496124,-0.2115607876,,,0.484496124,-0.1333373095,,,0.484496124,-0.07676242667,,
0.492248062,-0.2102947522,,,0.492248062,-0.1241319346,,,0.492248062,-0.06920354811,,
0.5,-0.2086732258,,,0.5,-0.1149873773,,,0.5,-0.06162693237,,
0.507751938,-0.2066895409,,,0.507751938,-0.1058986645,,,0.507751938,-0.05403192306,,
0.515503876,-0.2043381939,,,0.515503876,-0.09685948711,,,0.515503876,-0.04641765662,,
0.523255814,-0.2016148756,,,0.523255814,-0.08786256347,,,0.523255814,-0.0387830658,,
0.5310077519,-0.1985165103,,,0.5310077519,-0.07889997236,,,0.5310077519,-0.03112688719,,
0.5387596899,-0.1950412854,,,0.5387596899,-0.06996343897,,,0.5387596899,-0.0234476756,,
0.5465116279,-0.1911886485,,,0.5465116279,-0.06104458534,,,0.5465116279,-0.0157438112,,
0.5542635659,-0.1869592989,,,0.5542635659,-0.05213513912,,,0.5542635659,-0.008013508008,,
0.5620155039,-0.182355173,,,0.5620155039,-0.04322711777,,,0.5620155039,-0.0002548231696,,
0.5697674419,-0.1773793996,,,0.5697674419,-0.03431297517,,,0.5697674419,0.00753434141,,
0.5775193798,-0.1720362455,,,0.5775193798,-0.02538571785,,,0.5775193798,0.01535624595,,
0.5852713178,-0.1663310516,,,0.5852713178,-0.01643900853,,,0.5852713178,0.02321331042,,
0.5930232558,-0.16027014,,,0.5930232558,-0.007467242086,,,0.5930232558,0.03110812658,,
0.6007751938,-0.1538607125,,,0.6007751938,0.001534392296,,,0.6007751938,0.03904346847,,
0.6085271318,-0.1471107341,,,0.6085271318,0.01056986339,,,0.6085271318,0.04702231302,,
0.6162790698,-0.1400287973,,,0.6162790698,0.01964225569,,,0.6162790698,0.05504784679,,
0.6240310078,-0.1326239652,,,0.6240310078,0.0287537441,,,0.6240310078,0.06312349272,,
0.6317829457,-0.1249056066,,,0.6317829457,0.0379055686,,,0.6317829457,0.07125292848,,
0.6395348837,-0.1168832093,,,0.6395348837,0.04709801122,,,0.6395348837,0.07944009228,,
0.6472868217,-0.108566176,,,0.6472868217,0.05633038661,,,0.6472868217,0.08768920118,,
0.6550387597,-0.09996360175,,,0.6550387597,0.06560102098,,,0.6550387597,0.09600474,,
0.6627906977,-0.09108403148,,,0.6627906977,0.0749072476,,,0.6627906977,0.1043914603,,
0.6705426357,-0.08193520965,,,0.6705426357,0.08424539925,,,0.6705426357,0.1128543468,,
0.6782945736,-0.07252378569,,,0.6782945736,0.09361080463,,,0.6782945736,0.121398576,,
0.6860465116,-0.06285500765,,,0.6860465116,0.1029977811,,,0.6860465116,0.1300294288,,
0.6937984496,-0.052932405,,,0.6937984496,0.1123996419,,,0.6937984496,0.1387522021,,
0.7015503876,-0.04275741779,,,0.7015503876,0.1218087026,,,0.7015503876,0.1475720542,,
0.7093023256,-0.03232900911,,,0.7093023256,0.1312162931,,,0.7093023256,0.156493834,,
0.7170542636,-0.02164325592,,,0.7170542636,0.1406127867,,,0.7170542636,0.1655218477,,
0.7248062016,-0.0106929005,,,0.7248062016,0.1499876201,,,0.7248062016,0.174659591,,
0.7325581395,0.0005331418415,,,0.7325581395,0.1593293492,,,0.7325581395,0.1839094155,,
0.7403100775,0.01205029391,,,0.7403100775,0.1686257025,,,0.7403100775,0.1932721737,,
0.7480620155,0.02387885626,,,0.7480620155,0.177863662,,,0.7480620155,0.2027467875,,
0.7558139535,0.03604459354,,,0.7558139535,0.1870295699,,,0.7558139535,0.2123297991,,
0.7635658915,0.04857932392,,,0.7635658915,0.1961092847,,,0.7635658915,0.2220148744,,
0.7713178295,0.06152154493,,,0.7713178295,0.2050883958,,,0.7713178295,0.2317923027,,
0.7790697674,0.07491703388,,,0.7790697674,0.2139525258,,,0.7790697674,0.2416484957,,
0.7868217054,0.08881943512,,,0.7868217054,0.2226877681,,,0.7868217054,0.2515654991,,
0.7945736434,0.1032908255,,,0.7945736434,0.2312813362,,,0.7945736434,0.2615205726,,
0.8023255814,0.1184021869,,,0.8023255814,0.2397225298,,,0.8023255814,0.2714857797,,
0.8100775194,0.1342338037,,,0.8100775194,0.248004107,,,0.8100775194,0.2814277257,,
0.8178294574,0.1508754662,,,0.8178294574,0.2561242872,,,0.8178294574,0.2913074099,,
0.8255813953,0.1684265025,,,0.8255813953,0.2640896407,,,0.8255813953,0.3010801926,,
0.8333333333,0.1869955224,,,0.8333333333,0.2719191593,,,0.8333333333,0.3106959351,,
0.8410852713,0.206699848,,,0.8410852713,0.2796498258,,,0.8410852713,0.3200993467,,
0.8488372093,0.2276645315,,,0.8488372093,0.2873441186,,,0.8488372093,0.3292305653,,
0.8565891473,0.2500208773,,,0.8565891473,0.2950998263,,,0.8565891473,0.3380261901,,
0.8643410853,0.2739044136,,,0.8643410853,0.303062371,,,0.8643410853,0.3464210318,,
0.8720930233,0.2994522099,,,0.8720930233,0.3114397173,,,0.8720930233,0.3543514889,,
0.8798449612,0.3267994998,,,0.8798449612,0.3205194036,,,0.8798449612,0.3617621393,,
0.8875968992,0.3560755304,,,0.8875968992,0.3306866716,,,0.8875968992,0.3686187598,,
0.8953488372,0.3873986406,,,0.8953488372,0.3424417692,,,0.8953488372,0.3749332247,,
0.9031007752,0.4208705526,,,0.9031007752,0.3564133813,,,0.9031007752,0.3808086413,,
0.9108527132,0.4565699462,,,0.9108527132,0.3733640031,,,0.9108527132,0.3865153723,,
0.9186046512,0.4945454048,,,0.9186046512,0.3941818131,,,0.9186046512,0.3926080977,,
0.9263565891,0.5348079076,,,0.9263565891,0.4198528311,,,0.9263565891,0.4000863349,,
0.9341085271,0.5773231379,,,0.9341085271,0.4514069832,,,0.9341085271,0.4105818621,,
0.9418604651,0.6220039124,,,0.9418604651,0.4898326368,,,0.9418604651,0.4265236798,,
0.9496124031,0.6687032038,,,0.9496124031,0.5359570355,,,0.9496124031,0.4511891815,,
0.9573643411,0.7172082546,,,0.9573643411,0.590294874,,,0.9573643411,0.4885131092,,
0.9651162791,0.7672363844,,,0.9651162791,0.6528750834,,,0.9651162791,0.5425167998,,
0.9728682171,0.8184332794,,,0.9728682171,0.7230665874,,,0.9728682171,0.6162683816,,
0.980620155,0.8703748475,,,0.980620155,0.7994379919,,,0.980620155,0.7104223322,,
0.988372093,0.9225730941,,,0.988372093,0.8797005929,,,0.988372093,0.82164763,,
0.996124031,0.9744828616,,,0.996124031,0.9607940074,,,0.996124031,0.9416737621,,
