x_candidates,y_candidates,x_front,y_front
0.03050517558,0.226754121,0.03050517558,0.226754121
0.03107691168,0.04048972438,0.03088824004,0.2341651891
0.03088824004,0.2341651891,0.02983591817,0.2201565761
0.03073121232,0.153642454,0.0375665847,0.2810562794
0.02983591817,0.2201565761,0.03751167233,0.2715297322
0.03037212576,0.1840010126,0.03535839981,0.2713835204
0.03003145255,0.1553605486,0.04497453048,0.3053993715
0.03672637605,0.2536506062,0.05864137246,0.3817578255
0.0375665847,0.2810562794,0.07889332585,0.5093136776
0.03645356012,0.2587361027,0.0761204109,0.4648816103
0.03751167233,0.2715297322,0.07491575685,0.4412252276
0.03627936377,0.2658962922,,
0.03535839981,0.2713835204,,
0.03571758579,0.1178448049,,
0.04497453048,0.3053993715,,
0.04656126035,0.2986232435,,
0.04546243483,0.2936930615,,
0.04509769216,0.2878965723,,
0.04513553831,0.2941803209,,
0.04530601844,0.2588964542,,
0.04527161433,0.2559832553,,
0.05977817324,0.037537569,,
0.05827129168,0.3046798306,,
0.05881778195,0.2214527104,,
0.05864137246,0.3817578255,,
0.05865813099,0.0747084889,,
0.0569186887,0.2785670793,,
0.05752166598,0.2215822895,,
0.07993091222,0.3064964908,,
0.08055595247,0.4890455216,,
0.07889332585,0.5093136776,,
0.07887122435,0.3750853178,,
0.07757156204,0.2966493761,,
0.0761204109,0.4648816103,,
0.07491575685,0.4412252276,,
0.1058586358,0.4569216289,,
0.1061265413,-0.1669365902,,
0.1040833177,0.347086906,,
0.1416596696,0.4602306159,,
0.1404801604,0.3395590054,,
